"MONTH","TIME","TDS","Q"
1,1974.04,490,458
2,1974.12,540,469
4,1974.29,220,4630
7,1974.54,390,321
10,1974.79,450,541
1,1975.04,230,1640
4,1975.29,360,1060
7,1975.54,460,264
10,1975.79,430,665
1,1976.04,430,680
4,1976.29,620,650
8,1976.62,460,490
10,1976.79,450,380
1,1977.04,580,325
4,1977.29,350,1020
7,1977.54,440,460
10,1977.79,530,583
11,1977.87,380,777
12,1977.96,440,1230
1,1978.04,430,565
2,1978.12,680,533
3,1978.21,250,4930
4,1978.29,250,3810
5,1978.37,450,469
6,1978.46,500,473
7,1978.54,510,593
8,1978.62,490,500
9,1978.71,700,266
10,1978.79,420,495
11,1978.87,710,245
12,1978.96,430,736
1,1979.04,410,508
2,1979.12,700,578
3,1979.21,260,4590
4,1979.29,260,4670
5,1979.37,500,503
6,1979.46,450,469
7,1979.54,500,314
8,1979.62,620,432
9,1979.71,670,279
10,1979.79,410,542
11,1979.87,470,499
12,1979.96,370,741
1,1980.04,410,569
2,1980.12,540,360
3,1980.21,550,513
4,1980.29,220,3910
5,1980.37,460,364
6,1980.46,390,472
7,1980.54,550,245
8,1980.62,320,1500
9,1980.71,570,224
10,1980.79,480,342
12,1980.96,520,732
1,1981.04,620,240
2,1981.12,520,472
3,1981.21,430,679
4,1981.29,400,1080
5,1981.37,430,920
6,1981.46,490,488
7,1981.54,560,444
8,1981.62,370,595
9,1981.71,460,295
10,1981.79,390,542
12,1981.96,330,1500
3,1982.21,350,1080
5,1982.37,480,334
6,1982.46,390,423
8,1982.62,500,216
11,1982.87,410,366
2,1983.12,470,750
5,1983.37,280,1260
8,1983.62,510,223
11,1983.87,470,462
2,1984.12,310,7640
5,1984.37,230,2340
7,1984.54,470,239
11,1984.87,330,1400
3,1985.21,320,3070
5,1985.37,500,244
